"","HC_CCR7pCD45ROm","PD_CCR7pCD45ROm","HC_CCR7pCD45ROp","PD_CCR7pCD45ROp","HC_CCR7mCD45ROp","PD_CCR7mCD45ROp","HC_CCR7mCD45ROm","PD_CCR7mCD45ROm"
"GZMA",2.99483648881239,2.03476049173379,17.3218673218673,21.4736842105263,50.5311513063451,64.4476956839795,60.0978792822186,69.1346153846154
"GZMB",0.172117039586919,0.169563374311149,0.122850122850123,0.105263157894737,15.7335630203847,30.2487198244331,35.3996737357259,46.4663461538462
"PRF1",3.51118760757315,2.9673590504451,6.30630630630631,8.73684210526316,32.8452483491243,36.777615215801,45.8727569331158,51.3461538461538
"GZMA+GZMB+PRF1+",0.0344234079173838,0.0423908435777872,0.040950040950041,0,7.89549239161642,13.8258961228969,14.9429037520392,26.0576923076923
"Joint_GZMA+GZMB+PRF1+",6.33390705679862,4.91733785502332,21.048321048321,26.2105263157895,58.0246913580247,74.9451353328457,69.4290375203915,80.1923076923077
