"","HC_CCR7pCD45ROm","PD_CCR7pCD45ROm","HC_CCR7pCD45ROp","PD_CCR7pCD45ROp","HC_CCR7mCD45ROp","PD_CCR7mCD45ROp","HC_CCR7mCD45ROm","PD_CCR7mCD45ROm"
"CCL5",11.1531841652324,5.89232725731242,53.6036036036036,55.6842105263158,74.3611828883147,81.6020482809071,79.9347471451876,82.1153846153846
"GZMK",4.19965576592083,2.50105977108944,33.005733005733,30.7368421052632,37.2954349698536,42.0263350402341,26.394779771615,25.9615384615385
"CCL5+GZMK+",3.51118760757315,1.52607036880034,31.1629811629812,28.1052631578947,33.9362618432386,40.8376005852231,21.5986949429038,24.7115384615385
"Joint_CCL5+GZMK+",11.6351118760757,6.6129715981348,54.2997542997543,57.0526315789474,75.5957507895492,82.4067300658376,80.4241435562806,82.2115384615385
