"","HC_CCR7pCD45ROm","PD_CCR7pCD45ROm","HC_CCR7pCD45ROp","PD_CCR7pCD45ROp","HC_CCR7mCD45ROp","PD_CCR7mCD45ROp","HC_CCR7mCD45ROm","PD_CCR7mCD45ROm"
"GZMA",2.99483648881239,2.03476049173379,17.3218673218673,21.4736842105263,50.5311513063451,64.4476956839795,60.0978792822186,69.1346153846154
"GZMB",0.172117039586919,0.169563374311149,0.122850122850123,0.105263157894737,15.7335630203847,30.2487198244331,35.3996737357259,46.4663461538462
"GZMA+GZMB+",0.0344234079173838,0.0423908435777872,0.0819000819000819,0,11.2546655182314,23.7564008778347,23.8172920065253,37.2115384615385
"Joint_GZMA+GZMB+",3.13253012048193,2.16193302246715,17.3218673218673,21.4736842105263,52.4547803617571,70.3913679590344,64.8613376835237,75.5769230769231
