"","HC_CCR7pCD45ROm","PD_CCR7pCD45ROm","HC_CCR7pCD45ROp","PD_CCR7pCD45ROp","HC_CCR7mCD45ROp","PD_CCR7mCD45ROp","HC_CCR7mCD45ROm","PD_CCR7mCD45ROm"
"GZMA",2.99483648881239,2.03476049173379,17.3218673218673,21.4736842105263,50.5311513063451,64.4476956839795,60.0978792822186,69.1346153846154
"PRF1",3.51118760757315,2.9673590504451,6.30630630630631,8.73684210526316,32.8452483491243,36.777615215801,45.8727569331158,51.3461538461538
"GZMA+PRF1+",0.0344234079173838,0.0847816871555744,1.88370188370188,2,21.0450760838358,28.0175566934894,27.536704730832,39.0625
"Joint_GZMA+PRF1+",6.23063683304647,4.83255616786774,21.048321048321,26.2105263157895,57.0772322710307,72.0007315288954,67.5040783034258,78.0048076923077
