"","HC_CCR7pCD45ROm","PD_CCR7pCD45ROm","HC_CCR7pCD45ROp","PD_CCR7pCD45ROp","HC_CCR7mCD45ROp","PD_CCR7mCD45ROp","HC_CCR7mCD45ROm","PD_CCR7mCD45ROm"
"GZMB",0.172117039586919,0.169563374311149,0.122850122850123,0.105263157894737,15.7335630203847,30.2487198244331,35.3996737357259,46.4663461538462
"GZMK",4.19965576592083,2.50105977108944,33.005733005733,30.7368421052632,37.2954349698536,42.0263350402341,26.394779771615,25.9615384615385
"GZMB+GZMK+",0,0,0.040950040950041,0,1.52167671547517,5.92538405267008,3.65415986949429,5.9375
"Joint_GZMB+GZMK+",4.37177280550775,2.67062314540059,33.0876330876331,30.7368421052632,50.3875968992248,65.9656181419166,55.2365415986949,65.5769230769231
