"","HC_CCR7pCD45ROm","PD_CCR7pCD45ROm","HC_CCR7pCD45ROp","PD_CCR7pCD45ROp","HC_CCR7mCD45ROp","PD_CCR7mCD45ROp","HC_CCR7mCD45ROm","PD_CCR7mCD45ROm"
"GZMK",4.19965576592083,2.50105977108944,33.005733005733,30.7368421052632,37.2954349698536,42.0263350402341,26.394779771615,25.9615384615385
"IFNG",0.791738382099828,0.508690122933446,7.45290745290745,9.89473684210526,19.724375538329,24.1770299926847,34.1924959216966,32.5961538461538
"GZMK+IFNG+",0.275387263339071,0.0847816871555744,4.09500409500409,4.73684210526316,7.29256388171117,10.8632040965618,8.25448613376835,8.60576923076923
"Joint_GZMK+IFNG+",4.64716006884682,2.88257736328953,35.3808353808354,34.6315789473684,47.7461958082113,54.9012435991222,48.5481239804241,48.8461538461538
