"","HC_CCR7pCD45ROm","PD_CCR7pCD45ROm","HC_CCR7pCD45ROp","PD_CCR7pCD45ROp","HC_CCR7mCD45ROp","PD_CCR7mCD45ROp","HC_CCR7mCD45ROm","PD_CCR7mCD45ROm"
"GZMA",2.99483648881239,2.03476049173379,17.3218673218673,21.4736842105263,50.5311513063451,64.4476956839795,60.0978792822186,69.1346153846154
"GZMK",4.19965576592083,2.50105977108944,33.005733005733,30.7368421052632,37.2954349698536,42.0263350402341,26.394779771615,25.9615384615385
"GZMA+GZMK+",0.826161790017212,0.720644340822382,13.6363636363636,16.2105263157895,27.0456503014643,35.6986100950988,17.5530179445351,22.1153846153846
"Joint_GZMA+GZMK+",5.98967297762478,3.47604917337855,34.8484848484849,33.3684210526316,57.8237151880563,70.3182150694953,63.6215334420881,71.4182692307692
