"","HC_CCR7pCD45ROm","PD_CCR7pCD45ROm","HC_CCR7pCD45ROp","PD_CCR7pCD45ROp","HC_CCR7mCD45ROp","PD_CCR7mCD45ROp","HC_CCR7mCD45ROm","PD_CCR7mCD45ROm"
"PRF1",3.51118760757315,2.9673590504451,6.30630630630631,8.73684210526316,32.8452483491243,36.777615215801,45.8727569331158,51.3461538461538
"GZMK",4.19965576592083,2.50105977108944,33.005733005733,30.7368421052632,37.2954349698536,42.0263350402341,26.394779771615,25.9615384615385
"PRF1+GZMK+",0.137693631669535,0.0423908435777872,2.66175266175266,2.94736842105263,10.7665805340224,14.2099487929773,7.76508972267537,9.54326923076923
"Joint_PRF1+GZMK+",7.29776247848537,5.34124629080119,35.7903357903358,33.8947368421053,55.5268446741315,63.5881492318947,58.9559543230016,66.4423076923077
