"","HC_CCR7pCD45ROm","PD_CCR7pCD45ROm","HC_CCR7pCD45ROp","PD_CCR7pCD45ROp","HC_CCR7mCD45ROp","PD_CCR7mCD45ROp","HC_CCR7mCD45ROm","PD_CCR7mCD45ROm"
"GZMA",2.99483648881239,2.03476049173379,17.3218673218673,21.4736842105263,50.5311513063451,64.4476956839795,60.0978792822186,69.1346153846154
"GZMB",0.172117039586919,0.169563374311149,0.122850122850123,0.105263157894737,15.7335630203847,30.2487198244331,35.3996737357259,46.4663461538462
"PRF1",3.51118760757315,2.9673590504451,6.30630630630631,8.73684210526316,32.8452483491243,36.777615215801,45.8727569331158,51.3461538461538
"FCGR3A",0.103270223752151,0.29673590504451,0.696150696150696,0.631578947368421,8.92908412288257,15.8193123628383,28.0587275693312,32.7644230769231
"GZMA+GZMB+PRF1+FCGR3A+",0.0344234079173838,0.0423908435777872,0,0,3.47401665231123,5.17556693489393,8.05872756933116,14.6153846153846
"Joint_GZMA+GZMB+PRF1+FCGR3A+",6.36833046471601,5.04451038575668,21.2940212940213,26.3157894736842,58.3405110536893,75.5486466715435,70.6688417618271,80.9134615384615
