"","HC_CCR7pCD45ROm","PD_CCR7pCD45ROm","HC_CCR7pCD45ROp","PD_CCR7pCD45ROp","HC_CCR7mCD45ROp","PD_CCR7mCD45ROp","HC_CCR7mCD45ROm","PD_CCR7mCD45ROm"
"GZMA",2.99483648881239,2.03476049173379,17.3218673218673,21.4736842105263,50.5311513063451,64.4476956839795,60.0978792822186,69.1346153846154
"GZMB",0.172117039586919,0.169563374311149,0.122850122850123,0.105263157894737,15.7335630203847,30.2487198244331,35.3996737357259,46.4663461538462
"PRF1",3.51118760757315,2.9673590504451,6.30630630630631,8.73684210526316,32.8452483491243,36.777615215801,45.8727569331158,51.3461538461538
"IFNG",0.791738382099828,0.508690122933446,7.45290745290745,9.89473684210526,19.724375538329,24.1770299926847,34.1924959216966,32.5961538461538
"GZMA+GZMB+PRF1+IFNG+",0,0,0,0,2.4978466838932,4.44403803950256,5.54649265905383,9.20673076923077
"Joint_GZMA+GZMB+PRF1+IFNG+",6.95352839931153,5.25646460364561,25.3890253890254,30.6315789473684,61.5848406546081,77.8712509144111,73.9967373572594,83.3413461538461
