"","HC_CCR7pCD45ROm","PD_CCR7pCD45ROm","HC_CCR7pCD45ROp","PD_CCR7pCD45ROp","HC_CCR7mCD45ROp","PD_CCR7mCD45ROp","HC_CCR7mCD45ROm","PD_CCR7mCD45ROm"
"GZMB",0.172117039586919,0.169563374311149,0.122850122850123,0.105263157894737,15.7335630203847,30.2487198244331,35.3996737357259,46.4663461538462
"PRF1",3.51118760757315,2.9673590504451,6.30630630630631,8.73684210526316,32.8452483491243,36.777615215801,45.8727569331158,51.3461538461538
"GZMB+PRF1+",0.0688468158347676,0.0847816871555744,0.040950040950041,0,8.92908412288257,16.8434528163862,17.9445350734095,30.3125
"Joint_GZMB+PRF1+",3.6144578313253,3.05214073760068,6.30630630630631,8.73684210526316,37.1518805627333,49.4696415508413,55.3344208809135,64.3990384615385
